local_queryID,time(ms),recall,mrr
0,9.294,0.0,0.0
1,2.803,0.0,0.0
2,2.173,0.0,0.0
3,2.257,1.0,0.0
4,1.137,0.0,0.0
5,1.137,0.0,0.0
6,2.203,0.0,0.0
7,1.534,0.0,0.0
8,1.085,1.0,0.0
9,1.103,1.0,0.0
10,1.271,1.0,0.0
11,1.699,1.0,0.0
12,1.976,1.0,0.0
13,1.295,0.0,0.0
14,1.941,0.0,0.0
15,1.661,1.0,0.0
16,1.087,0.0,0.0
17,0.915,1.0,0.0
18,0.86,1.0,0.0
19,1.185,0.0,0.0
20,1.041,1.0,0.0
21,0.88,1.0,0.0
22,0.995,0.0,0.0
23,0.835,1.0,0.0
24,1.357,1.0,0.0
25,1.08,0.0,0.0
26,1.205,0.0,0.0
27,1.058,0.0,0.0
28,0.853,0.0,0.0
29,0.808,1.0,0.0
30,0.847,1.0,0.0
31,0.797,0.0,0.0
32,0.895,0.0,0.0
33,0.774,0.0,0.0
34,0.912,1.0,0.0
35,0.85,1.0,0.0
36,0.874,1.0,0.0
37,1.216,0.0,0.0
38,1.801,1.0,0.0
39,0.941,0.0,0.0
40,0.816,1.0,0.0
41,0.744,1.0,0.0
42,0.725,1.0,0.0
43,0.854,1.0,0.0
44,0.804,1.0,1.0
45,0.843,1.0,1.0
46,0.729,1.0,1.0
47,0.841,1.0,1.0
48,0.805,1.0,1.0
49,0.792,1.0,1.0
50,0.784,1.0,1.0
51,0.852,1.0,1.0
52,0.807,1.0,0.0
53,0.788,1.0,1.0
54,0.742,1.0,1.0
55,0.797,1.0,1.0
56,0.749,1.0,1.0
57,0.8,1.0,1.0
58,0.793,1.0,1.0
59,1.095,1.0,1.0
60,0.69,1.0,1.0
61,0.845,0.0,0.0
62,0.749,1.0,1.0
63,0.817,1.0,0.0
64,0.791,1.0,1.0
65,0.869,1.0,1.0
66,0.719,1.0,1.0
67,0.8,0.0,0.0
68,0.778,1.0,0.0
69,0.824,1.0,0.0
70,0.806,0.0,0.0
71,0.714,1.0,0.0
72,0.81,1.0,0.0
73,0.669,0.0,0.0
74,0.786,0.0,0.0
75,0.761,1.0,0.0
76,0.797,1.0,0.0
77,0.747,0.0,0.0
78,0.844,1.0,0.0
79,0.691,1.0,0.0
80,0.783,1.0,0.0
81,0.809,0.0,0.0
82,0.746,1.0,0.0
83,0.731,0.0,0.0
84,0.751,0.0,0.0
85,0.788,1.0,0.0
86,0.829,1.0,0.0
87,0.781,1.0,0.0
88,0.775,1.0,0.0
89,0.771,0.0,0.0
90,0.78,1.0,0.0
91,0.744,1.0,0.0
92,0.775,0.0,0.0
93,0.779,1.0,0.0
94,0.722,0.0,0.0
95,0.739,1.0,0.0
96,0.657,1.0,0.0
97,0.752,0.0,0.0
98,0.772,1.0,0.0
99,0.742,0.0,0.0
