local_queryID,time(ms),recall,mrr
0,1.345,1.0,1.0
1,1.057,1.0,1.0
2,0.815,1.0,1.0
3,0.897,0.0,0.0
4,0.858,1.0,0.0
5,0.838,0.0,1.0
6,0.962,1.0,1.0
7,1.011,1.0,1.0
8,1.024,1.0,1.0
9,0.942,1.0,1.0
10,0.991,0.0,0.0
11,0.897,1.0,0.0
12,0.894,0.0,0.0
13,0.899,1.0,1.0
14,0.84,0.0,0.0
15,0.884,1.0,0.0
16,0.846,1.0,0.0
17,1.045,1.0,0.0
18,0.95,1.0,1.0
19,0.929,0.0,0.0
20,0.972,1.0,1.0
21,0.896,0.0,0.0
22,0.913,1.0,0.0
23,0.899,1.0,0.0
24,0.93,1.0,1.0
25,0.782,1.0,1.0
26,0.91,0.0,0.0
27,0.893,0.0,0.0
28,0.767,0.0,0.0
29,0.747,1.0,0.0
30,0.789,1.0,1.0
31,0.796,1.0,1.0
32,0.936,0.0,0.0
33,0.797,0.0,0.0
34,0.719,1.0,0.0
35,0.771,1.0,1.0
36,0.783,0.0,0.0
37,0.819,1.0,0.0
38,0.765,0.0,0.0
39,0.657,0.0,0.0
40,0.802,1.0,1.0
41,0.839,0.0,0.0
42,0.727,1.0,1.0
43,0.712,0.0,0.0
44,0.682,0.0,0.0
45,0.873,1.0,0.0
46,0.786,1.0,1.0
47,0.674,1.0,0.0
48,0.722,1.0,1.0
49,0.697,1.0,1.0
50,0.714,1.0,1.0
51,0.716,1.0,0.0
52,0.612,1.0,1.0
53,0.705,0.0,0.0
54,0.723,0.0,0.0
55,0.762,0.0,0.0
56,0.67,0.0,0.0
57,1.319,1.0,1.0
58,0.804,1.0,0.0
59,0.669,0.0,0.0
60,0.621,1.0,1.0
61,0.751,0.0,0.0
62,0.789,0.0,0.0
63,0.756,1.0,0.0
64,0.74,1.0,1.0
65,0.757,1.0,1.0
66,0.658,0.0,0.0
67,0.732,0.0,0.0
68,0.668,0.0,0.0
69,0.818,0.0,0.0
70,0.927,1.0,1.0
71,0.81,1.0,0.0
72,0.814,1.0,0.0
73,0.701,1.0,0.0
74,0.789,1.0,0.0
75,0.755,1.0,0.0
76,0.858,1.0,0.0
77,0.852,0.0,0.0
78,0.726,0.0,0.0
79,0.799,0.0,0.0
80,0.683,1.0,1.0
81,0.686,1.0,1.0
82,0.655,1.0,0.0
83,0.704,0.0,0.0
84,0.747,1.0,0.0
85,0.727,1.0,1.0
86,0.756,0.0,0.0
87,0.737,1.0,1.0
88,0.693,1.0,1.0
89,0.669,1.0,1.0
90,0.629,0.0,0.0
91,0.725,1.0,0.0
92,0.794,1.0,0.0
93,3.43,1.0,1.0
94,1.499,1.0,0.0
95,0.871,1.0,1.0
96,0.723,0.0,0.0
97,0.824,0.0,0.0
98,0.804,0.0,0.0
99,0.766,1.0,1.0
