local_queryID,time(ms),recall,mrr
0,2.057,0.8,1.0
1,1.861,0.4,1.0
2,1.67,0.3,1.0
3,1.697,0.3,1.0
4,1.952,0.0,0.0
5,1.18,1.0,1.0
6,0.856,0.8,1.0
7,0.86,0.8,1.0
8,0.877,0.6,1.0
9,0.93,0.7,1.0
10,0.912,0.0,0.0
11,0.844,0.3,0.0
12,0.787,0.4,1.0
13,0.985,0.0,0.0
14,0.899,0.4,1.0
15,0.865,0.3,1.0
16,0.905,0.4,1.0
17,1.248,0.6,1.0
18,1.217,0.8,1.0
19,1.124,0.4,1.0
20,1.136,0.2,1.0
21,0.891,0.1,0.0
22,0.905,0.0,0.0
23,0.941,0.5,1.0
24,0.862,0.8,1.0
25,1.022,0.6,1.0
26,0.938,0.4,1.0
27,0.874,0.0,0.0
28,0.861,0.2,0.0
29,0.838,1.0,1.0
30,0.863,1.0,1.0
31,0.841,0.5,1.0
32,1.026,0.6,1.0
33,0.856,0.2,0.0
34,0.868,0.1,0.0
35,0.847,0.5,1.0
36,0.792,0.2,0.0
37,0.85,0.4,1.0
38,0.734,0.1,0.0
39,0.737,0.4,1.0
40,0.843,0.5,1.0
41,0.761,0.3,0.5
42,0.744,0.3,1.0
43,0.809,0.3,1.0
44,0.779,0.6,1.0
45,0.856,0.5,0.0
46,0.702,0.5,1.0
47,0.808,0.2,0.0
48,0.838,0.2,1.0
49,1.146,0.8,1.0
50,0.727,0.6,1.0
51,0.89,0.1,0.0
52,0.746,0.1,0.0
53,0.768,0.3,1.0
54,0.735,0.1,1.0
55,0.789,0.4,1.0
56,0.735,0.5,1.0
57,0.845,0.2,1.0
58,0.738,0.3,1.0
59,0.763,0.7,1.0
60,0.684,0.3,1.0
61,0.757,0.1,0.0
62,0.733,0.1,0.0
63,0.751,0.1,1.0
64,0.666,0.3,1.0
65,0.748,0.6,1.0
66,0.714,0.6,1.0
67,0.766,0.4,1.0
68,0.702,0.5,1.0
69,1.009,0.1,0.0
70,0.748,0.6,1.0
71,0.762,0.5,1.0
72,0.752,0.6,1.0
73,0.664,0.4,1.0
74,0.845,0.3,1.0
75,0.726,0.2,1.0
76,0.74,0.4,1.0
77,0.874,0.4,1.0
78,0.748,0.3,0.0
79,1.386,0.6,1.0
80,1.155,0.6,1.0
81,1.292,0.5,1.0
82,1.275,1.0,1.0
83,2.499,0.7,1.0
84,2.15,0.3,1.0
85,1.641,0.3,1.0
86,0.963,0.2,0.0
87,0.921,0.9,1.0
88,0.838,0.4,1.0
89,0.944,0.5,1.0
90,0.941,0.5,1.0
91,0.777,0.6,1.0
92,0.951,0.2,1.0
93,0.748,0.1,1.0
94,0.822,0.8,1.0
95,0.772,0.8,1.0
96,0.793,0.4,1.0
97,0.852,0.5,1.0
98,0.763,0.1,0.0
99,0.906,0.6,1.0
