local_queryID,time(ms),recall,mrr
0,2.025,0.8,0.0
1,1.528,0.6,1.0
2,1.016,0.6,0.0
3,1.259,0.4,0.0
4,1.058,0.6,0.0
5,0.953,0.6,0.0
6,1.077,1.0,1.0
7,1.055,0.6,0.0
8,0.96,1.0,0.0
9,1.02,1.0,0.0
10,0.929,0.6,0.0
11,0.986,1.0,0.0
12,0.935,0.8,0.0
13,0.89,0.4,0.0
14,0.906,0.6,1.0
15,0.809,0.6,0.0
16,0.911,0.4,0.0
17,1.012,0.6,0.0
18,1.001,0.4,0.0
19,0.915,0.8,0.0
20,0.72,0.6,0.0
21,0.829,0.6,1.0
22,0.734,0.4,0.0
23,0.8,0.4,0.0
24,0.797,0.4,0.0
25,0.818,0.4,0.0
26,0.804,0.6,1.0
27,0.803,0.8,0.0
28,0.769,1.0,0.0
29,0.724,1.0,0.0
30,0.76,1.0,1.0
31,0.701,1.0,0.0
32,0.843,1.0,1.0
33,0.668,0.8,0.0
34,0.706,0.8,1.0
35,0.75,0.8,0.0
36,0.768,0.8,0.0
37,0.778,0.6,0.0
38,0.795,0.6,0.0
39,0.69,0.4,0.0
40,0.73,1.0,0.0
41,0.717,1.0,0.0
42,0.77,0.4,0.0
43,0.789,0.4,0.0
44,0.716,0.4,1.0
45,0.799,0.8,0.0
46,0.764,0.8,0.0
47,0.767,0.6,1.0
48,0.826,0.8,0.0
49,0.815,0.8,0.0
50,0.791,0.2,1.0
51,0.791,0.4,0.0
52,0.837,0.6,0.0
53,0.754,0.8,0.0
54,0.779,0.4,0.0
55,0.756,0.8,1.0
56,0.789,1.0,1.0
57,0.791,0.6,0.0
58,0.768,0.6,0.0
59,1.179,0.6,0.0
60,0.754,0.6,1.0
61,0.849,0.2,0.0
62,0.809,0.2,0.0
63,0.773,0.8,0.0
64,0.761,0.8,1.0
65,0.809,1.0,0.0
66,0.802,0.8,0.0
67,0.808,0.4,0.0
68,0.72,0.4,1.0
69,0.808,1.0,0.0
70,0.804,0.4,0.0
71,0.787,1.0,0.0
72,0.85,1.0,0.0
73,0.717,0.8,0.0
74,0.735,0.6,0.0
75,0.778,1.0,1.0
76,0.8,1.0,0.0
77,0.807,0.6,0.0
78,0.842,1.0,1.0
79,0.747,0.4,0.0
80,0.697,0.8,1.0
81,0.735,0.8,0.0
82,0.77,0.8,0.0
83,0.97,0.8,0.0
84,0.905,0.6,1.0
85,0.75,0.6,1.0
86,0.86,0.8,0.0
87,0.88,0.6,0.0
88,0.974,0.8,1.0
89,0.787,0.6,0.0
90,0.804,0.6,0.0
91,0.711,0.4,1.0
92,0.798,0.4,0.0
93,0.751,0.8,0.0
94,0.776,0.6,0.0
95,0.77,0.8,0.0
96,0.843,0.6,0.0
97,0.788,0.4,0.0
98,0.733,0.4,0.0
99,0.673,0.6,1.0
