local_queryID,time(ms),recall,mrr
0,2.204,1.0,1.0
1,1.688,0.0,0.0
2,1.346,1.0,1.0
3,1.402,1.0,1.0
4,1.201,1.0,1.0
5,1.093,1.0,1.0
6,0.938,1.0,1.0
7,0.812,1.0,1.0
8,0.925,0.0,0.0
9,0.97,1.0,1.0
10,1.056,1.0,1.0
11,0.866,0.0,0.0
12,0.918,1.0,1.0
13,0.916,1.0,1.0
14,0.966,1.0,1.0
15,0.995,0.0,0.0
16,0.897,0.0,0.0
17,1.039,1.0,1.0
18,0.882,1.0,1.0
19,0.976,1.0,1.0
20,0.896,0.0,1.0
21,0.98,1.0,1.0
22,0.903,0.0,0.0
23,0.906,1.0,1.0
24,0.889,1.0,1.0
25,0.935,1.0,0.0
26,0.916,0.0,0.0
27,0.97,1.0,1.0
28,0.984,0.0,0.0
29,0.936,1.0,1.0
30,0.98,1.0,1.0
31,0.883,1.0,1.0
32,1.127,1.0,1.0
33,1.131,1.0,1.0
34,1.104,0.0,0.0
35,1.062,1.0,1.0
36,0.898,0.0,0.0
37,1.135,1.0,1.0
38,0.891,1.0,1.0
39,0.846,1.0,1.0
40,0.854,1.0,1.0
41,0.946,0.0,1.0
42,0.822,0.0,0.0
43,0.86,1.0,1.0
44,1.03,0.0,0.0
45,0.898,1.0,1.0
46,0.804,1.0,1.0
47,0.765,1.0,1.0
48,0.712,1.0,1.0
49,0.758,1.0,1.0
50,0.833,1.0,1.0
51,0.902,0.0,0.0
52,0.679,0.0,0.0
53,0.713,1.0,1.0
54,0.692,1.0,1.0
55,0.716,1.0,1.0
56,0.737,1.0,1.0
57,0.866,0.0,0.0
58,0.705,1.0,1.0
59,0.678,1.0,1.0
60,0.623,0.0,0.0
61,0.702,1.0,1.0
62,0.656,0.0,0.0
63,0.659,0.0,0.0
64,0.713,1.0,1.0
65,0.671,1.0,1.0
66,0.708,1.0,1.0
67,0.678,1.0,1.0
68,0.717,1.0,1.0
69,0.757,0.0,1.0
70,0.702,1.0,1.0
71,0.764,0.0,0.0
72,0.758,1.0,1.0
73,0.689,1.0,1.0
74,0.783,0.0,0.0
75,0.767,1.0,1.0
76,0.679,1.0,1.0
77,0.858,1.0,1.0
78,0.72,1.0,1.0
79,0.809,1.0,1.0
80,0.733,1.0,1.0
81,0.702,1.0,1.0
82,0.736,1.0,1.0
83,0.75,1.0,1.0
84,0.804,0.0,0.0
85,0.761,1.0,1.0
86,0.763,0.0,0.0
87,0.718,1.0,1.0
88,0.826,1.0,1.0
89,0.802,0.0,0.0
90,0.822,1.0,1.0
91,0.715,1.0,1.0
92,0.73,1.0,1.0
93,0.684,1.0,1.0
94,0.775,1.0,1.0
95,0.774,1.0,1.0
96,0.802,1.0,1.0
97,1.359,1.0,1.0
98,0.727,1.0,0.0
99,0.686,0.0,0.0
