local_queryID,time(ms),recall,mrr
0,2.199,1.0,0.0
1,1.53,0.0,0.0
2,1.166,1.0,0.0
3,1.307,1.0,0.0
4,1.245,0.0,0.0
5,1.025,1.0,0.0
6,1.641,1.0,0.0
7,1.231,1.0,0.0
8,1.143,1.0,0.0
9,1.908,1.0,0.0
10,1.73,1.0,0.0
11,0.904,0.0,0.0
12,1.026,1.0,0.0
13,0.874,1.0,0.0
14,1.012,1.0,0.0
15,0.965,1.0,0.0
16,0.948,1.0,0.0
17,0.89,0.0,0.0
18,0.963,1.0,0.0
19,1.06,1.0,0.0
20,0.848,1.0,0.0
21,0.846,0.0,0.0
22,0.878,1.0,0.0
23,0.853,0.0,0.0
24,0.823,1.0,0.0
25,0.87,1.0,0.0
26,0.756,1.0,0.0
27,0.802,0.0,0.0
28,0.701,0.0,0.0
29,0.687,1.0,0.0
30,0.813,0.0,0.0
31,0.777,0.0,0.0
32,0.867,1.0,0.0
33,0.766,1.0,0.0
34,0.63,1.0,0.0
35,0.71,1.0,0.0
36,0.723,0.0,0.0
37,0.748,1.0,0.0
38,0.855,1.0,0.0
39,0.679,0.0,0.0
40,0.78,0.0,0.0
41,0.799,0.0,0.0
42,0.749,0.0,0.0
43,0.82,1.0,0.0
44,0.781,0.0,0.0
45,0.822,0.0,0.0
46,0.785,1.0,0.0
47,0.768,1.0,0.0
48,0.768,0.0,0.0
49,0.768,1.0,0.0
50,0.727,1.0,0.0
51,0.818,1.0,0.0
52,0.704,1.0,0.0
53,0.728,0.0,0.0
54,0.708,0.0,0.0
55,0.669,1.0,0.0
56,0.769,1.0,0.0
57,0.773,0.0,0.0
58,0.752,1.0,0.0
59,0.744,0.0,0.0
60,0.729,0.0,0.0
61,0.771,1.0,0.0
62,0.736,0.0,0.0
63,0.86,1.0,0.0
64,0.71,0.0,0.0
65,0.755,0.0,0.0
66,0.675,1.0,0.0
67,0.657,0.0,0.0
68,0.724,0.0,0.0
69,0.736,0.0,0.0
70,0.843,1.0,0.0
71,0.695,1.0,0.0
72,0.754,1.0,0.0
73,0.78,1.0,0.0
74,0.845,0.0,0.0
75,0.625,0.0,0.0
76,0.803,1.0,1.0
77,0.786,1.0,0.0
78,0.664,1.0,1.0
79,1.365,1.0,1.0
80,1.668,1.0,0.0
81,1.323,1.0,1.0
82,0.872,1.0,1.0
83,1.007,1.0,1.0
84,0.73,1.0,1.0
85,0.822,1.0,1.0
86,0.79,1.0,1.0
87,0.632,1.0,1.0
88,0.787,1.0,1.0
89,0.773,1.0,1.0
90,0.793,1.0,1.0
91,0.707,1.0,1.0
92,0.716,0.0,0.0
93,0.788,1.0,1.0
94,0.841,1.0,1.0
95,0.801,1.0,1.0
96,0.729,1.0,1.0
97,0.818,1.0,1.0
98,0.912,0.0,0.0
99,0.782,1.0,1.0
