local_queryID,time(ms),recall,mrr
0,1.32,0.6,1.0
1,1.032,0.8,1.0
2,1.007,0.4,0.0
3,1.197,0.6,1.0
4,1.388,0.2,1.0
5,1.185,1.0,1.0
6,1.129,0.8,1.0
7,1.048,1.0,1.0
8,1.207,0.8,1.0
9,1.251,0.4,0.0
10,1.28,0.4,1.0
11,1.24,0.6,0.0
12,1.272,0.8,1.0
13,1.236,0.4,1.0
14,0.837,0.8,1.0
15,1.025,0.6,1.0
16,0.896,0.0,0.0
17,0.928,0.8,1.0
18,0.9,1.0,1.0
19,0.95,0.6,1.0
20,0.884,0.0,0.0
21,1.017,0.0,0.0
22,1.022,0.4,1.0
23,0.925,0.6,1.0
24,0.888,0.8,1.0
25,0.959,0.8,1.0
26,0.817,0.6,1.0
27,0.973,0.6,1.0
28,0.783,0.4,0.0
29,0.874,0.8,1.0
30,0.834,1.0,1.0
31,0.832,1.0,1.0
32,0.773,0.6,1.0
33,0.765,0.0,0.0
34,0.74,0.0,0.0
35,0.798,0.2,0.0
36,0.797,0.4,1.0
37,0.817,0.6,1.0
38,0.759,0.0,0.0
39,0.767,0.4,1.0
40,0.767,0.0,0.0
41,0.845,0.2,1.0
42,0.709,0.2,0.0
43,0.71,0.6,1.0
44,0.679,0.6,1.0
45,0.848,0.8,0.0
46,0.893,0.2,0.0
47,0.884,0.6,1.0
48,0.852,0.6,1.0
49,0.729,0.8,1.0
50,0.743,1.0,1.0
51,0.704,0.0,0.0
52,0.799,0.0,0.0
53,0.73,0.6,1.0
54,0.802,0.0,0.0
55,0.785,0.4,0.0
56,0.75,1.0,1.0
57,1.835,0.4,0.0
58,0.937,0.4,1.0
59,0.732,0.6,1.0
60,0.712,0.4,1.0
61,0.79,0.4,1.0
62,0.767,0.4,1.0
63,0.727,0.6,1.0
64,0.748,0.8,1.0
65,0.745,0.0,0.0
66,0.72,0.8,1.0
67,0.846,0.8,1.0
68,0.771,0.4,0.0
69,0.864,0.2,0.0
70,0.756,0.8,1.0
71,0.767,0.4,1.0
72,0.842,0.6,1.0
73,0.705,0.0,0.0
74,0.756,0.0,0.0
75,0.938,0.2,1.0
76,0.778,0.0,0.0
77,0.821,0.6,1.0
78,0.804,1.0,1.0
79,0.769,0.6,1.0
80,0.692,0.8,1.0
81,0.718,0.6,1.0
82,0.689,1.0,1.0
83,0.725,0.8,1.0
84,0.657,0.0,0.0
85,0.69,0.4,1.0
86,0.729,0.0,0.0
87,0.677,1.0,1.0
88,0.779,0.8,1.0
89,0.774,0.6,1.0
90,0.806,0.4,1.0
91,0.732,0.2,0.0
92,0.777,0.0,0.0
93,0.843,1.0,1.0
94,0.765,1.0,1.0
95,0.743,1.0,1.0
96,1.0,0.0,0.0
97,0.723,0.4,0.0
98,0.668,0.6,0.0
99,0.71,0.6,1.0
