local_queryID,time(ms),recall,mrr
0,1.84,1.0,0.0
1,1.344,1.0,1.0
2,1.37,1.0,0.0
3,1.342,1.0,0.0
4,1.232,1.0,0.0
5,1.176,1.0,0.0
6,1.21,1.0,0.0
7,1.218,1.0,1.0
8,1.177,1.0,1.0
9,1.184,1.0,1.0
10,1.271,1.0,1.0
11,1.254,0.0,0.0
12,1.1,1.0,1.0
13,1.112,1.0,1.0
14,1.122,0.0,0.0
15,1.044,1.0,0.0
16,1.017,1.0,0.0
17,1.021,1.0,0.0
18,1.011,1.0,1.0
19,1.105,1.0,0.0
20,0.924,1.0,1.0
21,0.983,0.0,0.0
22,0.889,1.0,0.0
23,0.958,1.0,1.0
24,0.914,1.0,0.0
25,0.93,0.0,0.0
26,0.884,0.0,0.0
27,0.907,1.0,1.0
28,0.898,1.0,1.0
29,0.889,1.0,0.0
30,0.835,1.0,1.0
31,1.211,1.0,1.0
32,1.26,1.0,1.0
33,0.803,0.0,0.0
34,0.74,1.0,0.0
35,0.829,0.0,0.0
36,0.838,1.0,1.0
37,0.845,1.0,1.0
38,0.956,1.0,0.0
39,0.785,1.0,1.0
40,0.897,1.0,1.0
41,0.862,1.0,1.0
42,0.852,0.0,0.0
43,0.788,1.0,0.0
44,0.811,1.0,1.0
45,0.825,1.0,0.0
46,0.879,1.0,1.0
47,0.746,1.0,1.0
48,0.822,1.0,1.0
49,0.871,1.0,0.0
50,0.808,1.0,1.0
51,0.855,1.0,1.0
52,1.097,1.0,0.0
53,1.112,0.0,1.0
54,0.875,0.0,0.0
55,0.836,0.0,0.0
56,0.863,1.0,1.0
57,0.853,1.0,0.0
58,0.771,1.0,1.0
59,0.749,1.0,1.0
60,0.738,1.0,0.0
61,0.826,1.0,1.0
62,0.809,0.0,0.0
63,0.823,1.0,1.0
64,0.794,1.0,1.0
65,0.822,1.0,0.0
66,0.788,0.0,0.0
67,0.699,1.0,0.0
68,0.705,0.0,0.0
69,0.81,1.0,0.0
70,0.823,1.0,1.0
71,0.861,1.0,1.0
72,0.807,1.0,0.0
73,0.738,1.0,0.0
74,0.825,0.0,0.0
75,0.759,1.0,0.0
76,0.847,1.0,0.0
77,0.77,1.0,0.0
78,0.771,1.0,0.0
79,0.734,1.0,1.0
80,0.69,1.0,0.0
81,0.766,1.0,0.0
82,0.837,1.0,0.0
83,0.882,1.0,0.0
84,0.964,1.0,0.0
85,0.876,0.0,0.0
86,0.915,1.0,1.0
87,0.789,1.0,1.0
88,0.803,1.0,1.0
89,0.759,1.0,1.0
90,0.722,1.0,0.0
91,0.838,1.0,0.0
92,0.862,0.0,0.0
93,0.866,1.0,1.0
94,0.831,1.0,1.0
95,0.81,1.0,0.0
96,0.888,1.0,1.0
97,0.949,0.0,0.0
98,0.739,1.0,1.0
99,0.847,1.0,1.0
