local_queryID,time(ms),recall,mrr
0,2.378,0.8,1.0
1,1.746,0.6,1.0
2,2.004,0.6,1.0
3,1.226,0.4,1.0
4,1.889,0.4,1.0
5,1.641,1.0,1.0
6,2.018,0.4,1.0
7,1.757,1.0,1.0
8,1.247,0.8,1.0
9,0.956,0.6,1.0
10,0.991,0.0,0.0
11,0.78,0.4,0.0
12,0.854,0.0,0.0
13,0.938,0.6,1.0
14,0.822,0.8,1.0
15,0.921,0.4,1.0
16,0.78,0.2,1.0
17,0.884,0.8,1.0
18,0.828,1.0,1.0
19,0.916,0.8,1.0
20,0.771,0.6,0.5
21,0.701,1.0,1.0
22,0.773,0.6,0.0
23,0.784,0.4,1.0
24,0.766,0.8,1.0
25,0.647,0.0,0.0
26,0.645,0.0,0.0
27,0.817,0.6,1.0
28,0.79,0.0,0.0
29,0.824,0.6,1.0
30,0.815,1.0,1.0
31,0.774,1.0,1.0
32,0.856,0.6,1.0
33,0.818,0.4,1.0
34,0.722,0.2,0.0
35,0.787,0.2,1.0
36,0.769,0.2,0.0
37,0.862,0.6,1.0
38,0.697,0.0,0.0
39,0.731,0.6,1.0
40,0.757,0.6,1.0
41,0.772,0.2,0.0
42,0.677,0.2,0.0
43,0.721,0.4,1.0
44,0.67,0.2,0.0
45,0.829,0.6,0.0
46,0.783,0.6,1.0
47,0.76,0.8,1.0
48,0.698,0.4,1.0
49,0.839,0.8,1.0
50,0.698,1.0,1.0
51,0.737,0.2,1.0
52,0.672,0.0,0.0
53,0.75,0.6,1.0
54,0.684,0.2,0.0
55,0.74,0.0,0.0
56,0.688,0.4,1.0
57,0.793,0.2,0.0
58,0.733,0.2,1.0
59,0.77,0.6,1.0
60,1.089,0.6,1.0
61,0.872,0.6,1.0
62,0.665,0.2,1.0
63,0.563,0.0,0.0
64,0.682,0.8,1.0
65,0.705,0.8,1.0
66,0.638,1.0,1.0
67,0.676,0.2,0.0
68,0.677,0.0,0.0
69,0.754,0.0,0.0
70,0.736,0.6,1.0
71,0.785,0.2,1.0
72,1.211,1.0,1.0
73,0.68,0.2,1.0
74,0.942,0.2,0.0
75,0.741,0.4,1.0
76,0.794,0.2,0.0
77,0.861,0.4,1.0
78,0.671,0.4,0.0
79,0.749,0.0,0.0
80,0.739,0.2,0.0
81,0.737,0.8,1.0
82,0.733,1.0,1.0
83,0.765,1.0,1.0
84,0.74,0.0,0.0
85,0.638,1.0,1.0
86,0.721,0.4,1.0
87,0.63,1.0,1.0
88,0.756,0.8,1.0
89,0.803,0.2,0.0
90,0.955,0.0,0.0
91,0.652,1.0,1.0
92,0.901,0.2,0.0
93,0.958,1.0,1.0
94,1.093,0.6,1.0
95,0.707,1.0,1.0
96,0.788,1.0,1.0
97,0.845,0.6,1.0
98,0.793,0.0,0.0
99,0.657,0.0,1.0
